"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 31 09:27:23 IST 2024","Sun Mar 31 09:27:32 IST 2024","8794","","My Login application","","","","should login with valid credentials",""
"passed","Sun Mar 31 09:28:12 IST 2024","Sun Mar 31 09:28:14 IST 2024","1714","","Google search test","","","","first test",""
